,title,subContent,oid,aid
0,"SK텔레콤, 올해 첫 ESPN 파워랭킹 1위",SK텔레콤 T1(사진=라이엇 게임즈 제공). SK텔레콤 T1이 ESPN이 매주 발표하고 있는 글로벌 리그 오브 레전드 파워랭킹에서 올해 들어 처음으로 1위에...,347,0000129247
1,"[LPL 돋보기] '도인비'의 펀플러스, 창단 첫 정규시즌 1위 ",'도인비' 김태상이 속한 펀플러스 피닉스가 LPL 스프링 정규시즌 1위를 차지했다. 펀플러스는 27일 오후 중국 상하이 홍차오 더 허브 특설무대에서 열린 L...,236,0000186936
2,"[Oh!쎈 LOL] 파죽지세 SK텔레콤, 그리핀 제치고 ESPN 파워랭킹 1위 등극",[OSEN=임재형 인턴기자] 3연승을 달리고 있는 SK텔레콤이 8주차 만에 ESPN 파워랭킹 1위에 등극했다. 저번주 아쉽게 5위로 떨어졌던 그리핀은 다시 ...,109,0003977232
3,"[순위분석] 손님 없는 여관, ‘하스스톤’ 45위까지 추락",▲ 웹게임과 웹보드게임은 순위에 반영되지 않습니다 (자료출처: 게임메카 집계)여관에 삼삼오오 둘러 앉아 카드 게임을 즐기는 유쾌한 분위기를 앞세운 ‘하스스톤...,356,0000032287
4,[LCK 스프링] 이번 시즌 가장 사랑 받은 챔피언은?,"스프링 시즌이 막바지에 이르렀다. 이번 주 일정이 종료되면 정규 시즌은 막을 내린다. 주로 등장한 챔피언은 한정됐다는 느낌을 지울 수 없었지만, 그래도 꽤 ...",442,0000096831
5,"그리핀의 '어나더 레벨' 재시동, 기록으로 보는 롤챔스 9주차",8주차의 부진을 내려놓고 냉정한 플레이를 되찾은 그리핀이 반등에 성공했다. 서울 롤파크에서 진행되는 '2019 리그 오브 레전드 챔피언스 코리아(이하 롤챔스...,236,0000186921
6,"[롤 챌린저스] '도깨비팀’ bbq, 2019 시즌 강력한 복병","[OSEN=임재형 인턴기자] 시즌 초 주전 선수들의 건강 문제가 발생하며 기권패를 당하기도 했지만, bbq는 어느새 LCK 승강전 플레이오프(PO)를 딛고 ...",109,0003977214
7,"와카전 확정 담원, 잔여 경기 잡고 상승기류 탈까",담원 게이밍. 라이엇 게임즈 제공최근 4경기에서 3패를 허용한 담원 게이밍이 라커룸 분위기를 끌어 올릴 수 있을까.담원은 28일 서울 종로구 LCK 아레나에...,005,0001185052
8,[롤챔스] 승강권 탈출을 위한 마지막 몸부림…10주차 예고,"2위 자리를 놓고 경합을 벌이고 있는 SK텔레콤 T1과 샌드박스 게이밍, 킹존 드래곤X(위부터). 리그 오브 레전드 챔피언스 코리아(이하 LCK) 2019 ...",347,0000129244
9,"[영상인터뷰] V11 달성한 문호준 ""V12 달성하면 은퇴하려 했다""",개인전 우승으로 V11을 달성한 문호준. V12 달성을 눈 앞에 두고 단체전 에이스 결정전에서 박인수에게 패해 아쉬움을 삼켜야 했습니다.하지만 문호준 팬들에...,347,0000129248
10,"[Oh!쎈 롤챔스] 김대호 감독이 말하는 그리핀, '새내기 시절'과 '지금'의 차이",[OSEN=고용준 기자] 2018년 여름 롤챔스 팬들 곁으로 다가온 그리핀은 새로운 충격이었다. 이전 승격 팀들이 '승점 자판기'였다면 그리핀은 기존 팀들을...,109,0003977414
11,"[OWCK] 집중력 잃지 않은 러너웨이, MVP에 승리…20연승 달성",러너웨이(사진=중계방송 캡처). ◆오버워치 컨텐더스 코리아 2019 시즌1 4주차▶2경기 러너웨이 3대1 MVP1세트 러너웨이 2 < 리장 타워 > 0 MV...,347,0000129264
12,"[롤챔스] 2, 3위 굳히기-승강권 탈출, 팀들에게 남겨진 마지막 숙제","포스트 시즌 진출에 성공한 상위권 팀들은 2, 3위 굳히기가, 하위권 팀들엔 승강권 탈출이 숙제로 주어졌다.올 것 같지 않던 시간이 왔다. 어느덧 시간은 흘...",236,0000186907
13,"아프리카 아레스 '국현' 황승현, 선수 생활 마치고 BJ로 복귀",'국현' 황승현이 아프리카 프릭스 아레스와 계약을 종료하고 다시 BJ로 활동한다.아프리카 프릭스는 지난 25일 SNS를 통해 플레이어언노운스 배틀그라운드팀 ...,347,0000129255
14,"""다음 아시안게임서 한국게임 e스포츠 채택 노력할 것""","김영만 e스포츠협회장 밝혀""글로벌 외교력 강화할 예정""""다음 아시안게임에서 국산 게임이 정식종목으로 채택될 수 있도록 고려 중입니다.""지난해 인도네시아에서 ...",029,0002516986
15,"[피플] 완벽한 중계 꿈꾸는 장지수 해설, 끊임없이 걸어온 노력의 길",장지수 해설위원은 오랜 시간 오버워치와 함께 했습니다. 오버워치 e스포츠의 초창기를 선수로 함께했고 2017년 오버워치 에이펙스 챌린저스로 해설에 데뷔한 후...,347,0000129256
16,"[오버워치 리그] 루시우 선택 94.1% 스테이지1, GOATS 변화할까?",[OSEN=임재형 인턴기자] 대부분의 딜러(DPS) 영웅이 ‘오버워치 리그 시즌2’ 스테이지1에서 버려졌다. 20.0% 선택률을 보인 솜브라를 제외한 모든 ...,109,0003977508
17,"[GSL] '태사도우' 김도우, 접전 끝에 이병렬 꺾고 2시즌만에 4강행(종합)","[OSEN=강남, 고용준 기자] '이것이 프로토스다. 이게 바로 김도우다.'아슬아슬한 접전이었지만 역시 모두에게 인정받는 프로토스 그 자체였다. 김도우가 명...",109,0003977693
18,"김영만 협회장, 한국e스포츠 발전위해 3가지 계획 세웠다",▲ 한국e스포츠협회 김영만 협회장 (사진: 게임메카 촬영)한국e스포츠협회는 큰 부침을 겪었다. 이 부분을 실감할 수 있는 부분은 작년 아시안게임이다. 아시안...,356,0000032271
19,"김영만 ""문체부 게임과에서 e스포츠과 따로 분리해야""","[아이뉴스24 김나리 기자] ""과거 문화체육관광부 게임음반과에서 게임과가 분리됐던 것처럼, e스포츠과 역시 따로 만들어질 필요가 있습니다.""김영만 한국e스포...",031,0000486443
